Season,Team,conference,team_elos,game_scores,Rank,Total Home Attendance,Average Home Attendance,Home Percent Capacity,Average Road Attendance,Road Percent Capacity,Overall Average Attendance,Overall Percent Capacity,GP,W,L
1998,Jazz,W,1683.9131607843133,98.6078431372549,4,"815,889","19,899",--,"17,851",--,"18,875",--,50,33,17
1998,Kings,W,1416.6776378048776,93.13414634146342,25,"605,443","14,766",--,"16,106",--,"15,436",--,50,26,24
1998,Lakers,W,1656.8773252631574,104.78947368421052,5,"810,283","19,763",--,"18,397",--,"19,080",--,50,37,13
1998,Magic,E,1479.8246731707325,90.08536585365853,17,"691,994","16,877",--,"18,829",--,"17,853",--,50,27,23
1998,Mavericks,W,1314.5713024390252,91.39024390243902,14,"701,647","17,113",--,"17,142",--,"17,127",--,50,27,23
1998,NY Knicks,E,1576.5528989130432,91.25,26,"541,545","13,208",--,"15,791",--,"14,500",--,50,33,17
1998,Nets,E,1503.423895294118,99.47058823529412,12,"718,523","17,524",--,"16,803",--,"17,163",--,50,19,31
1998,Nuggets,W,1225.1040353658536,89.02439024390245,28,"483,791","11,799",--,"15,724",--,"13,761",--,50,16,34
1998,Pacers,E,1627.5006397959187,95.3265306122449,22,"645,302","15,739",--,"17,998",--,"16,868",--,50,14,36
1998,Pistons,E,1525.5753475609756,94.15853658536585,2,"959,634","23,405",--,"17,008",--,"20,207",--,50,33,17
1998,Raptors,E,1327.9629658536583,94.89024390243902,7,"794,567","19,379",--,"17,556",--,"18,468",--,50,29,21
1998,Rockets,W,1534.0587862068965,97.95402298850574,18,"675,225","16,468",--,"16,571",--,"16,519",--,50,23,27
1998,Spurs,W,1527.2310274725273,92.45054945054945,19,"667,685","16,285",--,"17,999",--,"17,142",--,50,31,19
1998,Suns,W,1572.8066186046512,99.27906976744185,8,"783,455","19,108",--,"16,833",--,"17,971",--,50,37,13
1998,Thunder,W,1650.7886684782611,99.97826086956522,9,"779,943","19,023",--,"16,539",--,"17,781",--,50,27,23
1998,Timberwolves,W,1481.6923252873564,100.47126436781609,15,"699,952","17,072",--,"17,020",--,"17,046",--,50,25,25
1998,Trailblazers,W,1548.4381895348836,94.56976744186046,11,"738,572","18,013",--,"16,640",--,"17,327",--,50,25,25
1998,VAN,W,1281.0991329268295,96.6219512195122,3,"843,647","20,576",--,"16,689",--,"18,633",--,50,35,15
1998,Warriors,W,1299.0450036585362,88.2560975609756,27,"500,260","12,201",--,"16,063",--,"14,132",--,50,21,29
1998,Wizards,E,1524.3472756097565,97.1829268292683,6,"801,240","19,542",--,"16,742",--,"18,142",--,50,18,32
1999,76ers,E,1531.2401706896553,89.60344827586206,11,"436,444","17,457",--,"18,335",--,"17,896",--,82,49,33
1999,Bucks,E,1502.5075283018864,91.88679245283019,22,"381,948","15,277",--,"16,046",--,"15,661",--,82,42,40
1999,Bulls,E,1496.7912919999999,81.9,1,"560,012","22,400",--,"15,369",--,"18,885",--,82,17,65
1999,Cavaliers,E,1523.9462219999998,86.44,25,"352,992","14,119",--,"17,927",--,"16,023",--,82,32,50
1999,Celtics,E,1434.9575699999998,93.0,9,"440,602","17,624",--,"16,616",--,"17,120",--,82,35,47
1999,Clippers,W,1277.2081579999997,90.38,29,"256,568","10,262",--,"16,222",--,"13,242",--,82,15,67
1999,Hawks,E,1584.0312898305087,85.28813559322033,16,"417,966","16,718",--,"15,776",--,"16,247",--,82,67,15
1999,Heat,E,1604.3745018181812,88.07272727272728,27,"331,831","13,273",--,"16,023",--,"14,648",--,82,22,60
1999,Hornets,W,1511.1367980000005,92.88,23,"378,813","15,152",--,"17,414",--,"16,283",--,82,28,54
1999,Jazz,W,1677.7042704918033,92.57377049180327,4,"493,120","19,724",--,"17,902",--,"18,813",--,82,52,30
1999,Kings,W,1422.5335145454542,99.30909090909091,15,"418,751","16,750",--,"16,193",--,"16,471",--,82,49,33
1999,Lakers,W,1619.3015724137933,98.3103448275862,3,"494,075","19,763",--,"18,249",--,"19,006",--,82,55,27
