Season,Team,conference,team_elos,game_scores,Rank,Total Home Attendance,Average Home Attendance,Home Percent Capacity,Average Road Attendance,Road Percent Capacity,Overall Average Attendance,Overall Percent Capacity,GP,W,L
2010,Rockets,W,1562.3859914634143,102.3780487804878,19,"677,658","16,528",91.6,"16,616",87.3,"16,572",89.4,82,43,39
2010,Spurs,W,1600.5855163043482,100.79347826086956,10,"741,676","18,089",97.4,"17,707",93.2,"17,898",95.3,82,61,21
2010,Suns,W,1591.4717510204082,109.72448979591837,16,"723,582","17,648",95.8,"17,376",91.4,"17,512",93.5,82,40,42
2010,Thunder,W,1534.3139465909094,100.9659090909091,12,"738,149","18,003",98.9,"16,876",88.3,"17,440",93.5,82,55,27
2010,Timberwolves,W,1302.678147560976,98.1829268292683,25,"619,170","15,101",78.0,"16,112",84.8,"15,607",81.4,82,17,65
2010,Trailblazers,W,1579.2635761363633,97.76136363636364,3,"840,411","20,497",102.6,"16,546",87.2,"18,521",95.1,82,48,34
2010,Warriors,W,1390.6618353658532,108.8048780487805,11,"739,120","18,027",92.0,"16,443",86.7,"17,235",89.4,82,36,46
2010,Wizards,E,1368.7466853658536,96.2439024390244,21,"664,398","16,204",80.3,"16,487",86.1,"16,346",83.1,82,23,59
2011,76ers,E,1494.0088701149425,98.29885057471265,25,"604,823","14,751",72.6,"17,155",89.5,"15,953",80.8,66,35,31
2011,Bucks,E,1487.7518219512197,91.8780487804878,23,"631,910","15,412",82.3,"16,911",87.4,"16,162",84.9,66,31,35
2011,Bulls,E,1617.495057142857,97.62244897959184,1,"893,462","21,791",104.2,"18,431",96.1,"20,111",100.3,66,50,16
2011,Cavaliers,E,1375.1612695121946,95.45121951219512,3,"824,595","20,112",97.8,"16,200",84.1,"18,156",91.2,66,21,45
2011,Celtics,E,1660.3392175824179,96.31868131868131,11,"763,584","18,624",100.0,"18,964",98.0,"18,794",99.0,66,39,27
2011,Clippers,W,1387.0146829268297,98.64634146341463,14,"727,462","17,742",93.1,"17,614",92.7,"17,678",92.9,66,40,26
2011,Grizzlies,W,1531.019874736842,99.7578947368421,27,"600,687","14,650",80.9,"16,441",86.4,"15,546",83.7,66,41,25
2011,Hawks,E,1536.1646936170214,93.88297872340425,22,"641,596","15,648",83.6,"16,957",87.9,"16,303",85.7,66,41,25
2011,Heat,E,1656.6396417475726,100.16504854368932,5,"810,930","19,778",100.9,"19,447",100.9,"19,612",100.9,66,40,26
2011,Hornets,W,1453.8954475609755,93.29268292682927,21,"649,694","15,846",83.1,"16,473",85.5,"16,159",84.3,66,46,20
2011,Jazz,W,1530.208,99.42682926829268,7,"799,982","19,511",98.0,"17,331",91.2,"18,421",94.7,66,7,59
2011,Kings,W,1347.9094390243902,99.40243902439025,29,"569,496","13,890",80.2,"17,400",91.2,"15,645",86.0,66,36,30
2011,Lakers,W,1652.4449576086956,100.57608695652173,6,"808,879","19,728",99.8,"18,044",93.9,"18,886",96.9,66,22,44
2011,Magic,E,1643.2747011363635,98.48863636363636,8,"778,877","18,997",99.7,"19,087",100.2,"19,042",99.9,66,36,30
2011,Mavericks,W,1635.1747349514567,99.83495145631068,9,"777,852","18,972",102.6,"17,428",90.5,"18,200",96.4,66,37,29
2011,NY Knicks,E,1482.1219441860458,105.77906976744185,4,"824,162","20,101",104.7,"16,657",87.7,"18,379",96.2,66,36,30
2011,Nets,E,1346.3202134146347,94.17073170731707,28,"581,378","14,179",80.6,"17,098",88.4,"15,639",84.7,66,22,44
2011,Nuggets,W,1587.6081804597693,106.8735632183908,16,"692,968","16,901",88.2,"17,285",90.8,"17,093",89.5,66,38,28
2011,Pacers,E,1481.152043678161,99.24137931034483,30,"555,077","13,538",74.5,"16,844",87.0,"15,191",81.0,66,42,24
2011,Pelicans,W,1528.9786636363635,94.54545454545455,26,"603,088","14,709",86.1,"17,179",89.9,"15,944",88.1,66,21,45
2011,Pistons,E,1391.0489292682926,96.96341463414635,18,"683,080","16,660",75.5,"16,732",87.5,"16,696",81.1,66,25,41
2011,Raptors,E,1377.7312621951219,99.07317073170732,19,"679,208","16,566",83.7,"16,855",91.9,"16,710",87.6,66,23,43
2011,Rockets,W,1514.9585560975606,105.91463414634147,20,"663,839","16,191",89.7,"16,943",88.9,"16,567",89.3,66,34,32
2011,Spurs,W,1662.8584522727274,103.04545454545455,12,"750,879","18,314",98.6,"17,389",91.1,"17,851",94.8,66,50,16
2011,Suns,W,1545.396268292683,105.01219512195122,15,"720,249","17,567",95.4,"17,462",91.6,"17,514",93.5,66,33,33
2011,Thunder,W,1602.1865535353534,104.42424242424242,13,"744,068","18,148",99.7,"17,774",93.4,"17,961",96.5,66,47,19
2011,Timberwolves,W,1314.6176073170739,101.07317073170732,24,"624,960","15,242",78.8,"16,885",88.5,"16,064",83.6,66,26,40
2011,Trailblazers,W,1544.3840397727274,95.73863636363636,2,"840,924","20,510",102.7,"16,333",86.0,"18,422",94.5,66,28,38
2011,Warriors,W,1431.6698609756097,103.3780487804878,10,"766,398","18,692",95.4,"17,049",89.6,"17,871",92.5,66,23,43
2011,Wizards,E,1337.4226073170732,97.28048780487805,17,"688,466","16,791",83.2,"17,192",89.2,"16,992",86.1,66,20,46
2012,76ers,E,1554.730218987342,92.32911392405063,14,"577,597","17,502",86.1,"16,764",86.8,"17,133",86.5,82,34,48
2012,Bucks,E,1494.7304590909093,99.01515151515152,26,"485,717","14,718",78.6,"16,661",85.4,"15,689",82.1,82,38,44
2012,Bulls,E,1670.7925069444439,95.34722222222223,1,"731,326","22,161",105.9,"17,989",93.5,"20,075",100.0,82,45,37
2012,Cavaliers,E,1365.7331787878784,93.03030303030303,19,"525,577","15,926",77.5,"16,723",86.5,"16,324",81.9,82,24,58
2012,Celtics,E,1575.9561732558136,91.30232558139535,11,"614,592","18,624",100.0,"18,288",94.3,"18,456",97.1,81,41,40
2012,Clippers,W,1540.5121207792213,96.59740259740259,7,"634,237","19,219",100.8,"18,342",96.8,"18,781",98.8,82,56,26
2012,Grizzlies,W,1584.6027068493154,94.64383561643835,20,"518,256","15,704",86.7,"17,068",89.9,"16,386",88.3,82,45,37
2012,Hawks,E,1539.0646263888889,95.38888888888889,23,"501,593","15,199",81.2,"16,820",87.1,"16,010",84.2,82,56,26
2012,Heat,E,1676.0518797752811,98.19101123595506,4,"657,855","19,935",101.7,"19,399",99.7,"19,667",100.7,82,44,38
2012,Hornets,W,1284.182042424243,86.95454545454545,25,"486,984","14,757",77.4,"16,534",85.5,"15,645",81.5,82,66,16
2012,Jazz,W,1498.8583185714292,98.88571428571429,6,"637,124","19,306",97.0,"16,929",89.8,"18,118",93.5,82,21,61
2012,Kings,W,1400.8652712121216,98.75757575757575,27,"478,764","14,508",83.8,"16,905",87.9,"15,706",85.9,82,43,39
2012,Lakers,W,1593.5651243589741,96.7948717948718,5,"652,179","19,763",100.0,"18,407",95.6,"19,085",97.8,82,28,54
2012,Magic,E,1558.4110633802816,93.43661971830986,8,"626,901","18,997",99.7,"19,034",100.1,"19,015",99.9,82,54,28
2012,Mavericks,W,1591.257615714286,95.64285714285714,9,"623,587","18,896",102.1,"17,161",88.6,"18,028",95.2,82,20,62
2012,NY Knicks,E,1505.6349070422534,96.78873239436619,3,"671,050","20,334",105.9,"17,712",93.0,"19,023",99.5,82,41,41
2012,Nets,E,1343.0871424242428,93.0909090909091,30,"460,719","13,961",75.5,"17,081",87.9,"15,521",81.8,82,49,33
2012,Nuggets,W,1581.970653424658,103.41095890410959,16,"561,966","17,029",88.9,"17,228",91.1,"17,128",90.0,82,57,25
2012,Pacers,E,1553.134977922078,96.74025974025975,29,"467,561","14,168",78.0,"16,597",85.9,"15,382",82.1,81,49,32
2012,Pelicans,W,1419.2049166666666,89.63636363636364,24,"498,618","15,109",88.4,"16,717",87.9,"15,913",88.1,82,27,55
2012,Pistons,E,1380.9449727272734,90.86363636363636,28,"475,638","14,413",65.3,"16,342",85.3,"15,378",74.6,82,29,53
2012,Raptors,E,1368.2721348484852,90.6969696969697,17,"555,584","16,835",85.0,"16,732",86.3,"16,784",85.6,82,34,48
2012,Rockets,W,1528.0532666666666,98.0909090909091,22,"506,994","15,363",85.1,"17,733",93.2,"16,548",89.3,82,45,37
2012,Spurs,W,1651.0905349999998,103.3625,12,"607,095","18,396",99.0,"16,990",89.8,"17,693",94.4,82,58,24
2012,Suns,W,1505.7803181818176,98.36363636363636,21,"514,718","15,597",84.7,"17,806",94.5,"16,702",89.6,82,25,57
2012,Thunder,W,1676.0245104651162,102.63953488372093,13,"600,699","18,203",100.0,"18,031",95.4,"18,117",97.6,82,60,22
2012,Timberwolves,W,1428.964396969697,97.93939393939394,15,"577,197","17,490",90.4,"16,310",86.6,"16,900",88.5,82,31,51
2012,Trailblazers,W,1521.5536590909087,97.1969696969697,2,"676,384","20,496",102.6,"17,164",90.7,"18,830",96.8,82,33,49
2012,Warriors,W,1453.522577272727,97.77272727272727,10,"622,311","18,857",96.2,"16,364",86.1,"17,611",91.2,82,47,35
2012,Wizards,E,1331.5222742424241,93.63636363636364,18,"552,038","16,728",82.9,"16,361",84.8,"16,544",83.8,82,29,53
2013,76ers,E,1448.7797695121951,93.17073170731707,17,"685,412","16,717",82.2,"17,323",90.2,"17,020",86.1,82,19,63
2013,Bucks,E,1481.607948837209,98.24418604651163,27,"616,469","15,035",86.7,"16,919",89.2,"15,977",88.0,82,15,67
2013,Bulls,E,1549.85889787234,93.02127659574468,1,"896,944","21,876",104.6,"18,144",94.4,"20,010",99.7,82,48,34
2013,Cavaliers,E,1351.4387560975613,96.5,22,"663,882","16,192",83.3,"16,780",89.1,"16,486",86.2,82,33,49
2013,Celtics,E,1527.4821770114947,95.54022988505747,10,"744,960","18,624",100.0,"17,768",91.8,"18,191",95.8,82,25,57
2013,Clippers,W,1629.7949284090903,100.64772727272727,6,"788,293","19,226",100.9,"17,806",93.4,"18,516",97.1,82,57,25
2013,Grizzlies,W,1622.5902989690721,93.5979381443299,19,"681,613","16,624",91.8,"17,194",90.0,"16,909",90.9,82,27,55
2013,Hawks,E,1525.0193738636365,97.36363636363636,26,"620,146","15,125",80.8,"17,165",89.0,"16,145",84.9,82,50,32
2013,Heat,E,1703.8573304761906,101.61904761904762,3,"819,290","19,982",102.0,"19,090",101.1,"19,536",101.5,82,38,44
2013,Hornets,W,1260.2044426829266,93.42682926829268,24,"628,293","15,324",80.3,"16,502",85.6,"15,913",83.0,82,54,28
2013,Jazz,W,1518.3886012195123,98.02439024390245,9,"765,915","18,680",93.8,"16,769",88.3,"17,724",91.1,82,43,39
2013,Kings,W,1392.4726280487803,100.23170731707317,30,"563,743","13,749",79.4,"17,305",90.3,"15,527",85.1,82,25,57
2013,Lakers,W,1535.1592372093028,101.4186046511628,7,"780,353","19,033",96.3,"18,271",94.6,"18,652",95.4,82,28,54
2013,Magic,E,1357.133770731707,94.1219512195122,8,"778,877","18,997",99.6,"18,866",100.9,"18,931",100.3,82,37,45
2013,Mavericks,W,1494.8288231707318,101.13414634146342,15,"721,414","17,595",93.4,"16,821",86.8,"17,208",90.0,82,23,59
2013,NY Knicks,E,1592.2807882978725,98.5,2,"821,490","20,036",104.4,"17,613",94.3,"18,824",99.4,82,49,33
2013,Nets,W,1504.1942393258425,97.07865168539325,16,"704,702","17,187",94.9,"17,239",89.1,"17,213",91.9,82,44,38
2013,Nuggets,W,1622.2079159090902,105.93181818181819,14,"730,616","17,819",93.0,"17,401",91.1,"17,610",92.1,82,36,46
2013,Pacers,E,1579.5378220000002,94.18,25,"626,069","15,269",84.1,"17,061",87.9,"16,154",86.0,82,56,26
2013,Pelicans,W,1424.5746365853665,94.07317073170732,29,"565,930","13,803",81.8,"17,254",91.8,"15,528",87.1,82,34,48
2013,Pistons,E,1410.7064439024387,94.85365853658537,28,"606,094","14,782",72.7,"16,885",89.3,"15,834",80.7,82,29,53
2013,Raptors,E,1434.1834878048778,97.20731707317073,13,"743,936","18,144",91.6,"16,313",84.8,"17,229",88.3,82,48,34
2013,Rockets,W,1559.0612647727269,105.54545454545455,18,"683,564","16,672",92.4,"17,982",94.0,"17,327",93.2,82,54,28
2013,Spurs,W,1688.1486640776695,102.47572815533981,11,"755,700","18,431",99.2,"17,290",90.6,"17,861",94.9,82,62,20
2013,Suns,W,1433.06105,95.1829268292683,23,"632,913","15,436",83.8,"17,152",89.7,"16,294",86.8,82,48,34
2013,Thunder,W,1694.793246236559,104.86021505376344,12,"746,323","18,203",100.0,"18,335",97.8,"18,269",98.9,82,59,23
2013,Timberwolves,W,1435.8570707317074,95.7439024390244,21,"669,956","16,340",84.4,"17,034",89.3,"16,687",86.9,82,40,42
2013,Trailblazers,W,1459.2426048780483,97.5,4,"813,012","19,829",102.0,"16,727",89.5,"18,278",95.9,82,54,28
2013,Warriors,W,1520.0389882978714,101.36170212765957,5,"794,320","19,373",107.3,"17,204",91.9,"18,288",99.4,82,51,31
2013,Wizards,E,1408.2535304878047,93.21951219512195,20,"670,070","16,343",80.6,"16,193",84.1,"16,268",82.3,82,44,38
2014,76ers,E,1312.8530731707315,99.45121951219512,29,"568,632","13,869",68.2,"17,441",90.5,"15,655",79.1,82,18,64
2014,Bucks,E,1319.0984390243907,95.47560975609755,30,"552,967","13,487",72.1,"17,013",87.7,"15,250",80.0,82,41,41
2014,Bulls,E,1527.9783206896548,93.44827586206897,1,"890,370","21,716",103.8,"17,551",91.1,"19,634",97.7,82,50,32
2014,Cavaliers,E,1387.1900085365855,98.21951219512195,16,"710,522","17,329",84.3,"17,388",90.4,"17,358",87.2,82,53,29
2014,Celtics,E,1419.6202073170734,96.2439024390244,14,"742,400","18,107",97.2,"17,484",90.5,"17,796",93.8,82,40,42
2014,Clippers,W,1650.5047968421054,108.0421052631579,7,"787,692","19,212",100.8,"17,218",90.4,"18,215",95.6,82,56,26
2014,Grizzlies,W,1571.9828483146077,96.19101123595506,20,"685,458","16,718",92.3,"17,269",90.5,"16,993",91.4,82,21,61
2014,Hawks,E,1480.995214606742,100.32584269662921,28,"587,927","14,339",76.6,"17,274",89.5,"15,807",83.2,82,55,27
2014,Heat,E,1664.370055882353,101.22549019607843,4,"811,036","19,781",100.9,"19,190",99.3,"19,486",100.1,82,60,22
2014,Hornets,W,1436.8169383720926,96.62790697674419,25,"636,268","15,518",81.3,"17,026",90.0,"16,272",85.7,82,37,45
2014,Jazz,W,1421.7087914634144,95.01219512195122,12,"745,203","18,175",91.3,"17,295",90.6,"17,735",91.0,82,33,49
2014,Kings,W,1415.2395585365848,100.5,22,"667,949","16,291",94.1,"16,859",88.0,"16,575",90.9,82,38,44
2014,Lakers,W,1414.0110719512195,102.95121951219512,3,"812,292","19,812",100.0,"17,422",90.3,"18,617",95.2,82,29,53
2014,Magic,E,1331.747269512195,96.51219512195122,8,"771,974","18,828",98.8,"17,845",93.6,"18,337",96.2,82,17,65
2014,Mavericks,W,1564.1789584269661,104.5505617977528,23,"666,046","16,245",86.2,"16,583",86.1,"16,414",86.1,82,25,57
2014,NY Knicks,E,1472.932904878049,98.58536585365853,2,"817,982","19,950",103.9,"17,268",90.8,"18,609",97.4,82,50,32
2014,Nets,W,1502.8667340425532,98.13829787234043,17,"707,331","17,251",95.3,"17,528",90.6,"17,390",92.9,82,38,44
2014,Nuggets,W,1514.0941134146337,104.3780487804878,19,"692,898","16,899",88.2,"17,211",90.3,"17,055",89.2,82,30,52
2014,Pacers,E,1614.1655950495053,95.77227722772277,15,"717,542","17,501",97.6,"17,872",94.6,"17,686",96.1,82,38,44
2014,Pelicans,W,1444.2987256097563,99.71951219512195,21,"672,029","16,390",95.4,"17,397",90.8,"16,894",93.0,82,45,37
2014,Pistons,E,1401.4150097560973,101.04878048780488,26,"615,238","15,005",68.0,"17,280",90.1,"16,143",78.3,82,32,50
2014,Raptors,E,1550.1749382022467,100.87640449438203,10,"748,339","18,252",92.2,"16,702",86.8,"17,477",89.5,82,49,33
2014,Rockets,W,1613.0696511363624,107.9659090909091,13,"743,082","18,123",100.4,"17,427",91.1,"17,775",95.7,82,56,26
2014,Spurs,W,1696.6352000000002,105.57142857142857,9,"755,031","18,415",99.1,"17,627",92.2,"18,021",95.6,82,55,27
2014,Suns,W,1513.4192817073165,105.23170731707317,24,"650,739","15,871",86.2,"17,250",90.3,"16,560",88.3,82,39,43
2014,Thunder,W,1676.596672277227,105.46534653465346,11,"746,323","18,203",100.0,"18,170",95.2,"18,186",97.5,82,45,37
2014,Timberwolves,W,1542.6098414634146,106.92682926829268,27,"597,157","14,564",75.2,"17,605",92.1,"16,085",83.6,82,16,66
2014,Trailblazers,W,1579.0642462365593,106.45161290322581,5,"809,612","19,746",95.0,"17,312",91.1,"18,529",93.1,82,51,31
2014,Warriors,W,1603.997368539326,104.42696629213484,6,"803,436","19,596",100.0,"17,526",92.0,"18,561",96.1,82,67,15
2014,Wizards,E,1506.5823021505375,99.44086021505376,18,"698,068","17,026",84.0,"17,183",89.2,"17,104",86.5,82,46,36
2015,76ers,E,1281.6219292682924,91.97560975609755,30,"571,572","13,940",68.6,"17,665",91.8,"15,802",79.9,82,10,72
2015,Bucks,E,1455.5806920454552,97.20454545454545,27,"611,226","14,907",79.6,"17,180",88.8,"16,044",84.3,82,33,49
2015,Bulls,E,1572.0016031914897,100.18085106382979,1,"875,091","21,343",102.0,"18,404",95.7,"19,874",99.0,82,42,40
2015,Cavaliers,E,1570.4732392156861,102.32352941176471,2,"843,042","20,562",100.0,"18,915",98.3,"19,738",99.2,82,57,25
2015,Celtics,E,1425.5194279069765,101.05813953488372,16,"721,350","17,593",94.5,"17,741",91.9,"17,667",93.2,82,48,34
2015,Clippers,W,1658.2184406249999,106.875,9,"785,892","19,168",100.6,"18,079",94.7,"18,623",97.6,82,53,29
2015,Grizzlies,W,1620.6785258064513,97.89247311827957,18,"710,502","17,329",95.6,"18,017",94.4,"17,673",95.0,82,17,65
2015,Hawks,E,1607.2668438775513,101.8061224489796,17,"713,909","17,412",93.0,"17,582",90.8,"17,497",91.9,82,42,40
2015,Heat,E,1488.709397560976,94.6829268292683,6,"808,223","19,712",100.6,"17,703",92.0,"18,708",96.3,82,48,34
2015,Hornets,W,1453.9361426829273,94.15853658536585,19,"704,886","17,192",90.1,"17,654",91.1,"17,423",90.6,82,48,34
2015,Jazz,W,1448.4386609756095,95.13414634146342,10,"772,059","18,830",94.6,"17,135",90.0,"17,982",92.4,82,48,34
2015,Kings,W,1425.4173695121954,101.34146341463415,25,"680,049","16,586",95.8,"17,515",91.7,"17,050",93.6,82,40,42
2015,Lakers,W,1372.5224914634146,98.45121951219512,4,"812,292","19,812",100.0,"17,462",90.7,"18,637",95.4,82,33,49
2015,Magic,E,1339.4265939024385,95.6951219512195,11,"768,244","18,737",98.3,"17,875",93.6,"18,306",95.9,82,32,50
2015,Mavericks,W,1598.1919241379308,105.49425287356321,23,"688,194","16,785",89.1,"17,585",91.2,"17,185",90.1,82,35,47
2015,NY Knicks,E,1352.5188146341468,91.89024390243902,3,"827,702","20,187",105.1,"17,653",92.7,"18,920",98.9,82,42,40
2015,Nets,W,1468.8618284090912,97.9090909090909,20,"698,529","17,037",94.1,"18,039",92.9,"17,538",93.5,82,21,61
2015,Nuggets,W,1447.9158060975612,101.46341463414635,28,"602,707","14,700",76.7,"17,437",91.5,"16,068",84.1,82,33,49
2015,Pacers,E,1478.133425609756,97.32926829268293,22,"691,434","16,864",92.8,"17,892",92.4,"17,378",92.6,82,45,37
2015,Pelicans,W,1500.7466279069768,99.4186046511628,24,"683,757","16,677",97.0,"17,640",92.1,"17,158",94.5,82,30,52
2015,Pistons,E,1407.8583597560971,98.5,26,"625,917","15,266",69.2,"17,866",93.0,"16,566",80.3,82,44,38
2015,Raptors,E,1571.733044186047,103.62790697674419,5,"809,824","19,751",99.8,"17,522",90.9,"18,637",95.4,82,56,26
2015,Rockets,W,1623.4501404040395,104.65656565656566,14,"747,412","18,229",101.0,"17,969",94.0,"18,099",97.4,82,41,41
2015,Spurs,W,1676.8730426966304,103.20224719101124,12,"762,855","18,606",100.1,"17,972",94.1,"18,289",97.1,82,67,15
2015,Suns,W,1540.2925524390246,102.40243902439025,21,"693,862","16,923",91.9,"17,586",92.1,"17,254",92.0,82,23,59
2015,Thunder,W,1580.8519402439026,103.95121951219512,15,"746,323","18,203",100.0,"17,956",93.9,"18,079",96.9,82,55,27
2015,Timberwolves,W,1365.595607317073,97.7560975609756,29,"595,652","14,528",75.1,"18,000",94.2,"16,264",84.6,82,29,53
2015,Trailblazers,W,1616.8986747126435,102.27586206896552,8,"801,733","19,554",94.0,"17,657",92.9,"18,605",93.5,82,44,38
2015,Warriors,W,1725.5747640776697,108.59223300970874,7,"803,436","19,596",100.0,"18,312",96.2,"18,954",98.1,82,73,9
2015,Wizards,E,1538.8614413043479,98.81521739130434,13,"747,796","18,238",89.9,"18,253",95.0,"18,246",92.4,82,41,41
2016,76ers,E,1247.4934638414638,97.41463414634147,28,"610,121","14,881",73.2,"17,491",90.7,"16,186",81.7,82,28,54
2016,Bucks,E,1425.3245971585372,99.04878048780488,26,"621,808","15,166",81.0,"17,623",91.4,"16,394",86.3,82,42,40
2016,Bulls,E,1515.5648274146351,101.64634146341463,1,"894,659","21,820",104.3,"18,156",94.5,"19,988",99.6,82,41,41
2016,Cavaliers,E,1668.8862472815529,104.41747572815534,2,"843,042","20,562",100.0,"18,910",98.2,"19,736",99.1,82,51,31
2016,Celtics,E,1561.030873954545,104.9090909090909,13,"749,076","18,270",98.1,"17,439",90.5,"17,854",94.2,82,53,29
2016,Clippers,W,1626.2820226818187,104.07954545454545,10,"786,910","19,192",100.7,"17,792",93.6,"18,492",97.1,82,51,31
2016,Grizzlies,W,1520.7447179302328,98.25581395348837,24,"684,603","16,697",92.2,"17,589",92.1,"17,143",92.1,82,26,56
2016,Hawks,E,1564.3686676304344,102.54347826086956,22,"690,150","16,832",89.9,"17,611",91.0,"17,222",90.4,82,43,39
2016,Heat,E,1529.710363614583,99.58333333333333,6,"809,350","19,740",100.7,"18,044",93.9,"18,892",97.3,82,43,39
2016,Hornets,W,1512.202807067416,102.37078651685393,18,"716,894","17,485",91.7,"17,784",92.4,"17,634",92.0,82,41,41
2016,Jazz,W,1525.995522560975,97.6829268292683,9,"791,489","19,304",97.0,"17,378",91.6,"18,341",94.3,82,36,46
2016,Kings,W,1441.5420972682925,106.58536585365853,19,"707,526","17,256",99.7,"17,355",91.0,"17,306",95.1,82,51,31
2016,Lakers,W,1296.267145463415,97.34146341463415,5,"812,292","19,812",100.0,"18,440",96.0,"19,126",98.0,82,32,50
2016,Magic,E,1422.1147224512197,102.0609756097561,11,"778,877","18,997",99.7,"19,149",100.9,"19,073",100.3,82,31,51
2016,Mavericks,W,1529.965649689655,101.80459770114942,17,"719,275","17,543",93.1,"17,175",89.2,"17,359",91.1,82,29,53
2016,NY Knicks,E,1394.1587258780487,98.35365853658537,3,"825,901","20,143",104.9,"17,727",93.4,"18,935",99.2,82,33,49
2016,Nets,W,1365.7143712195123,98.64634146341463,27,"620,142","15,125",83.6,"18,106",93.6,"16,615",88.8,82,20,62
2016,Nuggets,W,1436.574984134146,101.89024390243902,30,"577,898","14,095",73.6,"17,751",93.2,"15,923",83.3,82,40,42
2016,Pacers,E,1532.324133808988,101.49438202247191,21,"690,733","16,847",92.7,"17,851",92.3,"17,349",92.5,82,42,40
2016,Pelicans,W,1459.05473597561,102.71951219512195,23,"688,549","16,793",97.7,"17,851",93.6,"17,322",95.5,82,34,48
2016,Pistons,E,1509.2627517790695,101.63953488372093,25,"677,138","16,515",74.8,"17,814",93.0,"17,164",83.3,82,37,45
2016,Raptors,E,1588.888992754902,100.88235294117646,4,"812,863","19,825",100.1,"17,162",89.2,"18,494",94.8,82,51,31
2016,Rockets,W,1530.1082190804593,105.66666666666667,15,"737,244","17,981",99.7,"17,740",93.3,"17,861",96.4,82,55,27
2016,Spurs,W,1749.7045362391314,103.3695652173913,12,"756,445","18,449",99.3,"17,938",94.4,"18,194",96.8,82,61,21
2016,Suns,W,1393.6006380121953,100.86585365853658,20,"701,405","17,107",92.9,"16,881",88.7,"16,994",90.7,82,24,58
2016,Thunder,W,1647.7268080000001,109.53,14,"746,323","18,203",100.0,"18,258",95.6,"18,230",97.8,82,47,35
2016,Timberwolves,W,1364.5777256707322,102.41463414634147,29,"581,178","14,175",73.2,"17,831",94.0,"16,003",83.5,82,31,51
2016,Trailblazers,W,1541.5632342150543,105.12903225806451,8,"794,085","19,367",99.6,"17,703",93.3,"18,535",96.5,82,41,41
2016,Warriors,W,1798.3236288207545,113.26415094339623,7,"803,436","19,596",100.0,"19,134",100.5,"19,365",100.3,82,67,15
2016,Wizards,E,1493.0284169268295,104.07317073170732,16,"725,426","17,693",87.3,"17,787",92.4,"17,740",89.8,82,49,33
2017,76ers,E,1332.7613358048782,102.4390243902439,18,"710,557","17,330",85.3,"17,209",89.7,"17,269",87.4,82,52,30
2017,Bucks,E,1481.5718013409094,102.9090909090909,27,"648,952","15,828",84.6,"17,928",92.8,"16,878",88.8,82,44,38
2017,Bulls,E,1491.5410918068192,102.43181818181819,1,"888,882","21,680",103.6,"18,033",94.0,"19,856",99.0,82,27,55
2017,Cavaliers,E,1641.0946502799998,111.4,2,"843,042","20,562",100.0,"19,021",98.7,"19,791",99.4,82,50,32
2017,Celtics,E,1575.0335693299996,107.51,12,"760,690","18,553",99.6,"18,313",94.6,"18,433",97.1,82,55,27
2017,Clippers,W,1609.548908370787,107.80898876404494,10,"782,609","19,088",100.1,"17,889",94.1,"18,488",97.1,82,42,40
2017,Grizzlies,W,1518.5087323863634,100.19318181818181,23,"677,314","16,519",91.2,"17,655",92.7,"17,087",91.9,82,35,47
2017,Hawks,E,1505.5605097954542,103.31818181818181,26,"654,306","15,958",85.2,"17,816",93.7,"16,887",89.5,82,22,60
2017,Heat,E,1512.8743220487804,103.17073170731707,7,"805,400","19,643",100.2,"17,818",92.4,"18,731",96.3,82,24,58
2017,Hornets,W,1518.4029901707315,104.89024390243902,17,"710,643","17,332",90.9,"17,563",91.3,"17,448",91.1,82,44,38
2017,Jazz,W,1586.8569618709682,100.36559139784946,6,"806,605","19,673",98.8,"17,212",90.5,"18,442",94.7,82,36,46
2017,Kings,W,1433.8111132682925,102.8048780487805,16,"721,928","17,608",100.6,"17,489",91.4,"17,548",95.8,82,48,34
2017,Lakers,W,1368.7400930609756,104.57317073170732,5,"810,741","19,774",99.8,"17,927",94.6,"18,850",97.3,82,27,55
2017,Magic,E,1400.862791439025,101.07317073170732,11,"776,917","18,949",99.4,"18,191",95.6,"18,570",97.5,82,29,53
2017,Mavericks,W,1446.3309456097556,97.91463414634147,15,"727,875","17,753",94.2,"17,333",89.6,"17,543",91.8,82,25,57
2017,NY Knicks,E,1419.4466591585362,104.34146341463415,4,"811,366","19,789",103.1,"17,519",91.9,"18,654",97.5,82,24,58
2017,Nets,W,1311.3201391951222,105.76829268292683,28,"632,608","15,429",85.2,"17,755",92.1,"16,592",88.8,82,28,54
2017,Nuggets,W,1479.0328516463417,111.71951219512195,30,"605,585","14,770",77.1,"17,420",91.7,"16,095",84.4,82,46,36
2017,Pacers,E,1499.8214993139536,105.27906976744185,22,"684,578","16,697",91.9,"17,848",92.1,"17,272",92.0,82,48,34
2017,Pelicans,W,1418.991858536585,104.34146341463415,24,"663,099","16,173",94.1,"18,062",94.6,"17,118",94.4,82,48,34
2017,Pistons,E,1490.3545002804874,101.32926829268293,25,"655,141","15,979",72.4,"17,699",92.6,"16,839",81.8,82,39,43
2017,Raptors,E,1588.0277650760859,105.75,3,"813,050","19,830",100.2,"17,925",92.8,"18,878",96.5,82,59,23
2017,Rockets,W,1612.1647229032258,114.44086021505376,21,"695,903","16,973",94.1,"18,140",95.3,"17,556",94.7,82,65,17
